question_id,year,paper,subject,topic,is_verified,is_visual_required,signal,matched_keywords,verified_image_count,broken_image_count,resolved
3243,2010,MDCAT 2010,Chemistry,Solids,True,False,weak,structure of,0,0,False
3328,2010,MDCAT 2010,Biology,Ecology,True,False,weak,graph,0,0,False
2924,2011,MDCAT 2011,Physics,Waves,True,True,weak,,1,0,True
2927,2011,MDCAT 2011,Physics,Optics,True,False,weak,image,0,0,False
2931,2011,MDCAT 2011,Physics,Rotational and Circular Motion,True,False,weak,figure,0,0,False
2939,2011,MDCAT 2011,Physics,Thermodynamics,True,True,weak,graph,1,0,True
2940,2011,MDCAT 2011,Physics,Thermodynamics,True,True,weak,,1,0,True
2943,2011,MDCAT 2011,Physics,Current Electricity,True,False,weak,figure|shown in the figure,0,0,False
2945,2011,MDCAT 2011,Physics,Electromagnetism,True,False,weak,figure|shown in the figure,0,0,False
2946,2011,MDCAT 2011,Physics,Electromagnetism,True,False,weak,diagram,0,0,False
2948,2011,MDCAT 2011,Physics,Dawn of Modern Physics,True,False,weak,image,0,0,False
2950,2011,MDCAT 2011,Physics,Current Electricity,True,False,weak,figure|shown in the figure,0,0,False
2979,2011,MDCAT 2011,Chemistry,Solids,True,False,weak,graph,0,0,False
2980,2011,MDCAT 2011,Chemistry,s and p Block Elements,True,False,weak,diagram,0,0,False
2495,2012,MDCAT 2012,Physics,Electromagnetism,True,True,weak,diagram,1,0,True
2497,2012,MDCAT 2012,Physics,Electromagnetism,True,True,weak,figure|shown in the figure,1,0,True
2509,2012,MDCAT 2012,Physics,Nuclear Physics,True,True,weak,figure|shown in figure,1,0,True
2513,2012,MDCAT 2012,Physics,Work and Energy,True,False,strong,diagram|graph,0,0,False
2522,2012,MDCAT 2012,Physics,Waves,True,False,weak,image,0,0,False
2523,2012,MDCAT 2012,Physics,Waves,True,False,strong,diagram|graph,0,0,False
2525,2012,MDCAT 2012,Physics,Waves,True,True,strong,diagram|graph,1,0,True
2526,2012,MDCAT 2012,Physics,Waves,True,False,strong,diagram|graph,0,0,False
2530,2012,MDCAT 2012,Physics,Thermodynamics,True,False,strong,diagram|graph,0,0,False
2534,2012,MDCAT 2012,Physics,Electronics,True,True,strong,diagram|graph,1,0,True
